Subject,recent_mean,recent_count,slope,risk_score,flight_risk
(No Subject),0.0,17,0.0,-0.0,False
(no subject),0.0,1,0.0,-0.0,False
12/05/200,0.0,1,0.0,-0.0,False
2001 Plan vs 2000 Forecast Explanation,0.0,1,0.0,-0.0,False
24 hour trading position,0.0,1,0.0,-0.0,False
ACRONYM ADDITIONS TO THE P&L AND PRICE SHEET.,0.0,1,0.0,-0.0,False
"AES NewEnergy,Inc.",0.0,2,0.0,-0.0,False
Access to Mary Solmonson's e-mail,0.0,1,0.0,-0.0,False
Additions to Attendee List for Dallas ASE,0.0,1,0.0,-0.0,False
Agua Dulce and Thompsonville Products,0.0,1,0.0,-0.0,False
Ameren Services Company,0.0,1,0.0,-0.0,False
Another Move Up the Career Ladder,0.0,1,0.0,-0.0,False
Another Vac. request,0.0,1,0.0,-0.0,False
"Ash Grove Cement Company, East Bay Municipal Utilitity District",0.0,1,0.0,-0.0,False
Asset Marketing,0.0,1,0.0,-0.0,False
Associate Starting,0.0,1,0.0,-0.0,False
Attendees for Wednesday night's dinner at Cafe Annie's,0.0,1,0.0,-0.0,False
Austin,0.0,1,0.0,-0.0,False
Austin?,0.0,1,0.0,-0.0,False
BJ,0.0,1,0.0,-0.0,False
Bearkadette Schedule,0.0,1,0.0,-0.0,False
Book Administrator's for EGM,0.0,1,0.0,-0.0,False
Bracket,0.0,1,0.0,-0.0,False
CFA Reimbursement,0.0,1,0.0,-0.0,False
Calling all Texas Exes...,0.0,1,0.0,-0.0,False
Canadian Promotions/Trip,0.0,1,0.0,-0.0,False
Cheapest Long Distance - NO CATCH!,0.0,1,0.0,-0.0,False
ClickAtHome Pilot 3 - Last Day to speak with Dell,0.0,1,0.0,-0.0,False
Commissioner.COM E-Reports for Y2KG 11/13/00,0.0,1,0.0,-0.0,False
Commissioner.COM Transaction Request,0.0,1,0.0,-0.0,False
Conference Update,0.0,1,0.0,-0.0,False
Congratulations,0.0,1,0.0,-0.0,False
Contractor List,0.0,1,0.0,-0.0,False
DCB info,0.0,1,0.0,-0.0,False
DPR Holiday Schedule,0.0,1,0.0,-0.0,False
DRAFT,0.0,1,0.0,-0.0,False
Day of the Trader - Las Vegas,0.0,1,0.0,-0.0,False
Days Out of Office,0.0,1,0.0,-0.0,False
December Newsletter - Free CD with any order!,0.0,1,0.0,-0.0,False
Deferred Annuity,0.0,1,0.0,-0.0,False
Details of Thursday Afternoon OpRisk Meeting,0.0,1,0.0,-0.0,False
Don't forget to register!,0.0,1,0.0,-0.0,False
"Don, claim your gift!",0.0,1,0.0,-0.0,False
Doorstep RAC Direction,0.0,1,0.0,-0.0,False
Dot's Shirleys 90th birthday party,0.0,1,0.0,-0.0,False
Dove HUNT in Mason TX - Joe Ebert,0.0,1,0.0,-0.0,False
Draft Date,0.0,1,0.0,-0.0,False
Draft change request,0.0,1,0.0,-0.0,False
ENA Group Expenses,0.0,1,0.0,-0.0,False
EOL stats for Q4 2000,0.0,1,0.0,-0.0,False
East Power Candidate,0.0,1,0.0,-0.0,False
Editorial The Hijacking of the Presidency,0.0,1,0.0,-0.0,False
Employee Profile - Brent Price,0.0,1,0.0,-0.0,False
Engage Energy America LLC,0.0,1,0.0,-0.0,False
Enron Issues,0.0,1,0.0,-0.0,False
Enron Management Conference,0.0,1,0.0,-0.0,False
Enron Wholesale Services Legal Department,0.0,1,0.0,-0.0,False
Executive Committee Meeting,0.0,1,0.0,-0.0,False
Expense Report for Stephen Schwarz Dated 4/13/00,0.0,1,0.0,-0.0,False
FW:,0.0,1,0.0,-0.0,False
FW: Deal: Y82661.1,0.0,1,0.0,-0.0,False
FW: Hourly Trading Desk,0.0,1,0.0,-0.0,False
FW: Letter to the captain - QUANTAS,0.0,1,0.0,-0.0,False
FW: MAPP OASIS Partial Outage,0.0,1,0.0,-0.0,False
"FW: MAPP Partial Outage Monday, November 19 5am-6am CT",0.0,1,0.0,-0.0,False
FW: MISO phase in of operations,0.0,1,0.0,-0.0,False
FW: Monthly Acctg Meeting,0.0,1,0.0,-0.0,False
Fall APDA Conference,0.0,1,0.0,-0.0,False
"Final Schedule -  Tuesday, May 8, 2001 - Andrew C. Greer",0.0,1,0.0,-0.0,False
FirstEnergy Services Corp.,0.0,1,0.0,-0.0,False
Flood pics,0.0,1,0.0,-0.0,False
Free Trial: Gas Trader,0.0,1,0.0,-0.0,False
"Frontier Energy I, LLC",0.0,1,0.0,-0.0,False
Fundamental Operating Standards,0.0,1,0.0,-0.0,False
Fundamental Presentation,0.0,1,0.0,-0.0,False
Fwd: Foundations,0.0,1,0.0,-0.0,False
Game tonight @ 7:00,0.0,1,0.0,-0.0,False
Garvin Brown - AXIA Sr. Power Scheduler,0.0,1,0.0,-0.0,False
Get Out Your Light Saber,0.0,1,0.0,-0.0,False
Get a FREE DVD@ColumbiaHouse.com! (open for details),0.0,1,0.0,-0.0,False
Global Operations Controller Forum,0.0,2,0.0,-0.0,False
Hook 'Em,0.0,1,0.0,-0.0,False
Hourly Trading,0.0,1,0.0,-0.0,False
"IDACORP Energy, LP",0.0,2,0.0,-0.0,False
IPG,0.0,1,0.0,-0.0,False
India trading operations,0.0,1,0.0,-0.0,False
Insert for Organizational Memo,0.0,1,0.0,-0.0,False
Interview Schedule,0.0,1,0.0,-0.0,False
Into Cinergy Hourly Index,0.0,1,0.0,-0.0,False
JD VACATION,0.0,1,0.0,-0.0,False
James is coming...,0.0,1,0.0,-0.0,False
January 11 - Managing Operational Risk,0.0,1,0.0,-0.0,False
Last Call for Accountants.....,0.0,1,0.0,-0.0,False
Lotus notes?,0.0,1,0.0,-0.0,False
